KEY,ENGLISH,TURKISH,GERMAN,RUSSIAN,SPANISH,PORTUGUESE (BRAZIL),ITALIAN,FRENCH,POLISH,SIMPLIFIED CHINESE,TRADITIONAL CHINESE,JAPANESE,KOREAN
play_button,Play,Oyna,Spielen,Играть,Jugar,Jogar,Giocare,Jouer,Graj,开始,開始,遊ぶ,놀다
controls_button,Controls,Kontroller,Steuerung,Управление,Controles,Controles,Controlli,Contrôles,Sterowanie,控制,控制,コントロール,통제 수단
credits_button,Credits,Emeği G.,Credits,Титры,Creditos,Créditos,Crediti,Crédits,Autorzy,创造人员,創造人員,クレジット,크레딧
back_button,Back,Geri,Zurück,Назад,Volver,Voltar,Indietro,Retour,Wstecz,返回,返回,戻る,뒤쪽에
no_button,No,Hayır,Nein,Нет,No,Não,No,Non,Nie,取消,取消,いいえ,아니요
yes_button,Yes,Evet,Ja,Да,Si,Sim,SÌ,Oui,Tak,确定,確定,はい,예
settings,SETTINGS,AYARLAR,EINSTELLUNGEN,НАСТРОЙКИ,CONFIGURACIONES,CONFIGURAÇÕES,IMPOSTAZIONI,PARAMÈTRES,USTAWIENIA,设置,設定,設定,설정
controls,CONTROLS,KONTROLLER,STEUERUNG,УПРАВЛЕНИЕ,CONTROLES,CONTROLES,CONTROLLI,CONTRÔLES,STEROWANIE,控制,控制,コントロール,통제 수단
credits,CREDITS,EMEĞİ GEÇENLER,CREDITS,ТИТРЫ,CRÉDITOS,CRÉDITOS,CREDITI,CRÉDITS,AUTORZY,创造人员,創造人員,クレジット,크레딧
select_save,SELECT SAVE,KAYIT SEÇİN,SPEICHERSTAND AUSWÄHLEN,ВЫБРАТЬ ЗАПИСЬ,SELECCIONAR PARTIDA,SELECIONAR JOGO SALVO,SELEZIONA SALVATAGGIO,SÉLECTIONNER UNE SAUVEGARDE,WYBIERZ ZAPIS,选择存档,選擇存檔,保存を選択,선택 저장
music_level,Music:,Oyun Müziği:,Musik:,Музыка:,Musica:,Música:,Musica:,Musique:,Muzyka:,音乐:,音樂:,音楽：,음악:
sfx_level,SFX:,Ses Efektleri:,Soundeffekte:,Звуковые эффекты:,Efectos Sonoros:,Efeitos Sonoros:,Effetti sonori:,Effets sonores:,Efekty dźwiękowe:,声音效果:,聲音效果:,音響効果: ,사운드 효과:
developer,Developer: Berker UCAR,Geliştirici: Berker UÇAR,Entwickler: Berker UÇAR,Разработчик: Berker UCAR,Desarollador: Berker UCAR,Desenvolvedor: Berker UCAR,Sviluppatore: Berker UCAR,Développeur: Berker UCAR,Deweloper: Berker UCAR,开发商 : Berker UCAR,開發商 : Berker UCAR,開発者: Berker UCAR,개발자: Berker UCAR
